plant_a,plant_b,relationship_type,effect_description,evidence_tier,notes
Basil,Tomato,beneficial,Repels aphids and hornworms; improves flavor and growth,strong,Classic pairing - scientifically validated
Basil,Pepper,beneficial,Repels aphids and improves growth,strong,Nightshade family companion
Basil,Oregano,beneficial,Enhances essential oils in both plants,moderate,Mediterranean herb pairing
Basil,Parsley,beneficial,Similar water/sun needs; grow well together,moderate,Both prefer moist soil
Basil,Lettuce,beneficial,Repels aphids from lettuce,moderate,Good spacing companion
Basil,Purslane,beneficial,Complementary growth habits,traditional,Historical pairing
Basil,Asparagus,beneficial,Repels asparagus beetles,moderate,Pest management
Basil,Marigold,beneficial,Combined pest repellent effect,strong,Powerful duo for pest control
Basil,Chamomile,beneficial,Enhances essential oils,moderate,Attracts beneficials
Basil,Chives,beneficial,Both enhance each other's oils,moderate,Allium + herb pairing
Basil,Rosemary,incompatible,Different water needs; basil prefers moist,moderate,Keep separated
Basil,Fennel,incompatible,Fennel inhibits basil growth,moderate,Allelopathic effect
Basil,Cucumber,incompatible,May stunt cucumber growth,traditional,Avoid pairing
Basil,Rue,incompatible,Rue inhibits basil,traditional,Keep apart
Oregano,Cabbage,beneficial,Repels cabbage moth and aphids,moderate,Brassica protector
Oregano,Broccoli,beneficial,Repels cabbage pests,moderate,Brassica companion
Oregano,Brussels Sprouts,beneficial,Deters cabbage pests,moderate,Brassica family
Oregano,Cauliflower,beneficial,Pest deterrent,moderate,Brassica companion
Oregano,Kohlrabi,beneficial,Repels pests,moderate,Brassica family
Oregano,Turnip,beneficial,Pest management,moderate,Root brassica
Oregano,Strawberry,beneficial,Improves growth and flavor,moderate,Tested pairing
Oregano,Pepper,beneficial,Repels aphids,moderate,Nightshade companion
Oregano,Eggplant,beneficial,Aphid deterrent,moderate,Nightshade family
Oregano,Squash,beneficial,Pest control,moderate,Cucurbit companion
Oregano,Beans,beneficial,Supports bean health,moderate,Legume companion
Oregano,Cucumber,beneficial,Repels cucumber beetles,strong,Proven pest management
Oregano,Basil,beneficial,Enhance each other's oils,moderate,Mediterranean pairing
Oregano,Rosemary,beneficial,Mediterranean companions,strong,Similar growing conditions
Oregano,Sage,beneficial,Grow well together,strong,Dry soil herbs
Oregano,Thyme,beneficial,Similar conditions,strong,Mediterranean duo
Oregano,Marjoram,beneficial,Close relatives,strong,Same family
Oregano,Lavender,beneficial,Dry soil companions,moderate,Mediterranean herbs
Thyme,Cabbage,beneficial,Deters cabbageworm and whiteflies,strong,Proven pest control
Thyme,Broccoli,beneficial,Cabbage pest deterrent,moderate,Brassica protector
Thyme,Cauliflower,beneficial,Repels cabbage pests,moderate,Brassica companion
Thyme,Strawberry,beneficial,Protects from pests,moderate,Ground cover companion
Thyme,Potato,beneficial,Enhances flavor,moderate,Root crop pairing
Thyme,Eggplant,beneficial,Good companion,moderate,Nightshade family
Thyme,Tomato,beneficial,Confuses pests,moderate,Nightshade companion
Thyme,Rosemary,beneficial,Mediterranean companions,strong,Same conditions
Thyme,Sage,beneficial,Dry soil herbs,strong,Mediterranean pairing
Thyme,Oregano,beneficial,Similar needs,strong,Mediterranean duo
Thyme,Marjoram,beneficial,Related herbs,strong,Mediterranean family
Thyme,Lavender,beneficial,Drought-tolerant pair,strong,Mediterranean companions
Thyme,Beans,beneficial,Supports legume health,moderate,Nitrogen fixer companion
Thyme,Lettuce,beneficial,Pest deterrent,moderate,Leafy green companion
Thyme,Basil,incompatible,Different moisture needs,moderate,Thyme prefers dry
Thyme,Cilantro,incompatible,Water requirement mismatch,moderate,Keep separate
Thyme,Chives,incompatible,Moisture needs differ,moderate,Chives need more water
Rosemary,Cabbage,beneficial,Repels cabbage fly and moths,strong,Brassica protector
Rosemary,Broccoli,beneficial,Deters cabbage pests,moderate,Brassica companion
Rosemary,Cauliflower,beneficial,Pest management,moderate,Brassica family
Rosemary,Beans,beneficial,Repels bean beetles,moderate,Legume protector
Rosemary,Carrot,beneficial,Deters carrot fly,strong,Root crop companion
Rosemary,Sage,beneficial,Complementary aromatics,strong,Best herb pairing
Rosemary,Thyme,beneficial,Mediterranean duo,strong,Similar conditions
Rosemary,Oregano,beneficial,Dry soil companions,strong,Mediterranean herbs
Rosemary,Marjoram,beneficial,Related herbs,strong,Mediterranean family
Rosemary,Lavender,beneficial,Perfect pairing,strong,Identical conditions
Rosemary,Garlic,beneficial,Allium companion,moderate,Pest deterrent combo
Rosemary,Collards,beneficial,Brassica protector,moderate,Leafy green
Rosemary,Kale,beneficial,Deters pests,moderate,Brassica companion
Rosemary,Potato,beneficial,Pest management,moderate,Root crop
Rosemary,Cucumber,incompatible,Water needs differ,moderate,Rosemary too dry for cucumbers
Rosemary,Basil,incompatible,Moisture requirements clash,moderate,Keep separate
Sage,Cabbage,beneficial,Deters cabbage loopers and maggots,strong,Brassica protector
Sage,Broccoli,beneficial,Repels flea beetles,moderate,Brassica companion
Sage,Cauliflower,beneficial,Cabbage pest deterrent,moderate,Brassica family
Sage,Carrot,beneficial,Deters carrot fly,moderate,Root crop companion
Sage,Strawberry,beneficial,Pest management,moderate,Berry companion
Sage,Tomato,beneficial,Pest confuser,moderate,Nightshade companion
Sage,Rosemary,beneficial,Best companions,strong,Only herb sage likes
Sage,Lavender,beneficial,Mediterranean pairing,strong,Similar conditions
Sage,Thyme,beneficial,Dry soil herbs,strong,Mediterranean duo
Sage,Marjoram,beneficial,Related herbs,moderate,Mediterranean family
Sage,Oregano,beneficial,Dry soil companions,moderate,Mediterranean herbs
Sage,Lettuce,beneficial,Pest deterrent,moderate,Leafy green
Sage,Beans,beneficial,Legume companion,moderate,Nitrogen fixer pairing
Sage,Rue,incompatible,Rue stunts sage,traditional,Keep apart
Sage,Cucumber,incompatible,Stunts cucumber growth,moderate,Avoid pairing
Sage,Onion,incompatible,Water needs differ,moderate,Sage prefers dry
Sage,Basil,incompatible,Growth inhibition,traditional,Keep separate
Parsley,Tomato,beneficial,Attracts beneficial insects,strong,Nightshade companion
Parsley,Asparagus,beneficial,Repels asparagus beetles,strong,Proven pest control
Parsley,Carrot,beneficial,Attracts predatory wasps,moderate,Root crop companion
Parsley,Rose,beneficial,Improves rose health,traditional,Flower companion
Parsley,Chives,beneficial,Similar needs,moderate,Both like moisture
Parsley,Basil,beneficial,Grow well together,moderate,Similar conditions
Parsley,Cilantro,beneficial,Apiaceae family,moderate,Related herbs
Parsley,Oregano,beneficial,Herb garden pairing,moderate,Complementary
Parsley,Thyme,beneficial,Mixed herb bed,moderate,Good companions
Parsley,Rosemary,beneficial,Herb combination,moderate,Different layers
Parsley,Sage,beneficial,Herb pairing,moderate,Complementary
Parsley,Marjoram,beneficial,Mediterranean herb,moderate,Good companion
Parsley,Lavender,beneficial,Herb garden,moderate,Attracts beneficials
Parsley,Onion,beneficial,Allium pairing,moderate,Pest management
Parsley,Lettuce,beneficial,Leafy green companion,moderate,Similar needs
Parsley,Mint,incompatible,Mint overpowers,moderate,Keep mint contained
Mint,Cabbage,beneficial,Deters cabbage moths,strong,Brassica protector
Mint,Broccoli,beneficial,Repels aphids and flea beetles,moderate,Brassica companion
Mint,Tomato,beneficial,Improves growth and flavor,moderate,Nightshade companion
Mint,Pea,beneficial,Attracts beneficials,moderate,Legume companion
Mint,Cauliflower,beneficial,Pest deterrent,moderate,Brassica family
