plant_a,plant_b,relationship_type,evidence_level,mechanism,notes
Tomato,Basil,good,traditional_strong,Pest deterrence and flavor enhancement,Basil repels aphids and whiteflies from tomatoes; traditional pairing
Tomato,Carrots,good,traditional_strong,Root/foliage synergy,Carrots break up soil for tomato roots; different nutrient needs
Tomato,Marigold,good,scientific,Pest deterrence,Marigolds produce thiopenes that deter nematodes and aphids
Tomato,Nasturtium,good,traditional_strong,Trap crop,Nasturtiums attract aphids away from tomatoes
Tomato,Parsley,good,traditional_weak,Companion benefit,Traditional pairing with anecdotal support
Tomato,Onion,good,traditional_strong,Pest deterrence,Onion family deters spider mites and aphids
Tomato,Garlic,good,scientific,Pest and disease deterrence,Garlic compounds inhibit fungal diseases
Tomato,Chives,good,traditional_strong,Pest deterrence,Allium family repels aphids
Tomato,Asparagus,good,traditional_weak,Mutual benefit,Asparagus beetles reduced near tomatoes; tomatoes may deter asparagus beetles
Tomato,Borage,good,traditional_strong,Pest deterrence and pollination,Attracts predatory insects and pollinators
Tomato,Lettuce,good,traditional_weak,Space and shade utilization,Lettuce benefits from tomato shade in hot weather
Tomato,Brassicas,bad,traditional_strong,Nutrient competition,Both heavy feeders competing for same nutrients
Tomato,Fennel,bad,scientific,Allelopathy,Fennel produces compounds inhibiting growth of most plants
Tomato,Potato,bad,scientific,Disease susceptibility,Share same diseases (blight, wilt); should not follow each other
Tomato,Dill (mature),bad,traditional_strong,Growth inhibition,Mature dill may stunt tomato growth
Tomato,Walnut,bad,scientific,Allelopathy,Walnut juglone highly toxic to tomatoes
Basil,Capsicum,good,traditional_strong,Pest deterrence,Same benefits as basil-tomato pairing
Basil,Oregano,good,traditional_weak,Aromatic companion,May enhance each other's flavors
Basil,Rue,bad,traditional_strong,Allelopathy,Rue inhibits basil growth
Beans (all),Corn,good,scientific,Three Sisters companion,Beans fix nitrogen for corn; corn provides trellis
Beans (all),Squash,good,scientific,Three Sisters companion,Squash shades soil reducing evaporation and weeds
Beans (all),Carrots,good,traditional_strong,Nitrogen benefit,Beans provide nitrogen for carrots
Beans (all),Cucumber,good,traditional_strong,Nitrogen benefit,Beans provide nitrogen; cucumbers provide ground cover
Beans (all),Potato,good,traditional_strong,Nitrogen benefit,Beans provide nitrogen for potatoes
Beans (all),Radish,good,traditional_weak,Pest deterrence,Radishes may deter bean beetles
Beans (all),Brassicas,good,traditional_weak,Nitrogen benefit,Beans provide nitrogen for heavy-feeding brassicas
Beans (all),Beets,good,traditional_weak,Compatible growth,Different rooting depths and nutrient needs
Beans (all),Strawberry,good,traditional_strong,Nitrogen benefit,Beans improve strawberry growth
Beans (all),Onion,bad,traditional_strong,Growth inhibition,Alliums inhibit bean growth
Beans (all),Garlic,bad,traditional_strong,Growth inhibition,Alliums inhibit bean growth
Beans (all),Fennel,bad,scientific,Allelopathy,Fennel inhibits most plants
Beans (all),Sunflower,bad,traditional_weak,Allelopathy,Sunflowers may inhibit bean growth
Carrots,Onion,good,scientific,Pest deterrence,Onions deter carrot rust fly
Carrots,Leek,good,scientific,Pest deterrence,Leeks deter carrot rust fly
Carrots,Rosemary,good,traditional_strong,Pest deterrence,Strong scent confuses carrot fly
Carrots,Sage,good,traditional_strong,Pest deterrence,Strong scent confuses carrot fly
Carrots,Radish,good,traditional_weak,Soil breaking,Radishes break up soil for carrots
Carrots,Lettuce,good,traditional_weak,Space utilization,Compatible spacing and growth rates
Carrots,Peas,good,traditional_strong,Nitrogen benefit,Peas provide nitrogen for carrots
Carrots,Chives,good,traditional_strong,Pest deterrence,Allium scent deters pests
Carrots,Dill,bad,traditional_strong,Growth inhibition,Dill stunts carrot growth
Carrots,Parsnip,bad,traditional_weak,Disease sharing,Share similar pests and diseases
