common_name,scientific_name,plant_family,plant_type,climate_zones,growing_difficulty,space_required,sunlight_needs,water_needs,days_to_germination_min,days_to_germination_max,days_to_harvest_min,days_to_harvest_max,perennial_annual,planting_months_sh,planting_months_nh,height_cm_min,height_cm_max,spread_cm_min,spread_cm_max,native_region,description,transplant_friendly,typical_seedling_age_days,direct_sow_only,seedling_difficulty,transplant_notes
Pea,Pisum sativum,Fabaceae,Vegetable,"Cfb,Csa,Csb",Easy,Small,Full sun,Regular,7,14,50,70,Annual,Mar-May,Mar-May,60,150,20,30,Mediterranean,Nitrogen-fixing legume with edible pods and peas,false,21,true,Hard,Direct sow - sensitive roots do not transplant well
Bean,Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa",Easy,Medium,Full sun,Regular,7,10,50,60,Annual,Sep-Dec,Apr-Jun,40,60,30,40,Americas,Bush beans - nitrogen-fixing legume with edible pods,false,14,true,Hard,Direct sow - beans do not transplant well
Beans,Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa",Easy,Medium,Full sun,Regular,7,10,50,70,Annual,Sep-Dec,Apr-Jun,40,200,30,40,Americas,All bean varieties - bush and pole types,false,14,true,Hard,Direct sow - legumes sensitive to root disturbance
Marigold,Tagetes spp.,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,50,70,Annual,Sep-Mar,Apr-Jul,20,90,20,45,Mexico,All marigold varieties - French and African types for pest control,true,21,false,Easy,Transplants easily; start indoors or direct sow
Marigold (French),Tagetes patula,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,50,70,Annual,Sep-Mar,Apr-Jul,20,40,20,30,Mexico,Compact French marigold; excellent nematode control and pest deterrent,true,21,false,Easy,Very transplant friendly; commonly started indoors
Marigold (African),Tagetes erecta,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,5,7,60,80,Annual,Sep-Mar,Apr-Jul,60,90,30,45,Mexico,Tall African marigold with large blooms; soil nematode control,true,21,false,Easy,Transplants well; large flowers attract pollinators
Calendula,Calendula officinalis,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,7,14,50,60,Annual,Feb-Oct,Mar-Oct,30,60,30,40,Mediterranean,Pot marigold; medicinal herb with edible flowers; attracts beneficials,true,21,false,Easy,Transplants easily; self-seeds readily
Nasturtium,Tropaeolum majus,Tropaeolaceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun to part shade,Low,7,12,40,60,Annual,Sep-Mar,Apr-Jul,30,300,30,90,South America,Edible flowers and leaves; excellent trap crop for aphids and caterpillars,true,21,false,Easy,Transplants well when young; often direct sown
Borage,Borago officinalis,Boraginaceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Moderate,7,14,50,70,Annual,Sep-Mar,Apr-Jul,45,90,30,60,Mediterranean,Blue edible flowers; bee magnet; dynamic accumulator; cucumber-flavored,true,28,false,Easy,Transplants when young; self-seeds vigorously
Cosmos,Cosmos bipinnatus,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Low,7,10,60,90,Annual,Sep-Mar,Apr-Jun,60,150,30,45,Mexico,Airy flowers attract beneficial insects; low maintenance; excellent pollinator plant,true,21,false,Easy,Transplants easily; direct sow also works well
Zinnia,Zinnia elegans,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Moderate,5,7,60,90,Annual,Sep-Mar,May-Jul,30,90,20,40,Mexico,Bright flowers attract bees and butterflies; excellent cut flower,true,21,false,Easy,Transplants well; fast growing and prolific
Sunflower,Helianthus annuus,Asteraceae,Flower,"Cfa,Cfb,Csa,Csb",Easy,Large,Full sun,Moderate,7,10,80,120,Annual,Sep-Dec,Apr-Jun,150,300,30,60,North America,Large blooms attract pollinators; edible seeds; living trellis for beans,false,14,true,Moderate,Sensitive to transplanting; best direct sown
Yarrow,Achillea millefolium,Asteraceae,Flower,"Cfb,Csa,Csb,Csb",Easy,Small,Full sun,Low,10,21,365,730,Perennial,Sep-Mar,Mar-Sep,30,90,30,60,Northern Hemisphere,Medicinal herb; attracts predatory wasps and beneficial insects; dynamic accumulator,true,42,false,Easy,Perennial; transplants well; spreads via rhizomes
Lavender,Lavandula angustifolia,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb",Moderate,Medium,Full sun,Low,14,28,730,1095,Perennial,Sep-Mar,Apr-Jun,40,90,40,90,Mediterranean,Aromatic herb; pest deterrent; attracts pollinators; drought tolerant,true,56,false,Moderate,Start from cuttings or seedlings; very slow from seed
Chamomile,Matricaria chamomilla,Asteraceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun to part shade,Moderate,7,14,60,90,Annual,Sep-Mar,Apr-Jun,20,60,20,30,Europe,Medicinal herb with apple-scented flowers; attracts beneficial insects,true,28,false,Easy,Transplants when small; often self-seeds
