common_name,scientific_name,plant_family,plant_type,climate_zones,growing_difficulty,space_required,sunlight_needs,water_needs,days_to_germination,days_to_harvest,perennial_annual,planting_months_sh,planting_months_nh,height_cm,spread_cm,native_region,description
Tomato,Solanum lycopersicum,Solanaceae,Vegetable,"Cfa,Cfb,Csa,Csb,Aw",Easy,Medium,Full sun,Medium,7-14,60-85,Annual,Sep-Nov,Mar-May,100-200,50-100,South America,Versatile fruit vegetable with hundreds of varieties
Basil,Ocimum basilicum,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb,Aw,Am",Easy,Small,Full sun,Medium,7-10,60-90,Annual,Sep-Nov,Apr-Jun,30-60,30-40,Southeast Asia,Aromatic culinary herb essential for Italian and Thai cuisine
Lettuce,Lactuca sativa,Asteraceae,Vegetable,"Cfb,Cfa,Csa,Csb,Dfb",Easy,Small,Partial shade,Medium,7-14,45-70,Annual,Mar-May/Aug-Oct,Mar-May/Aug-Sep,20-30,25-35,Mediterranean,Cool-season salad green with many leaf types
Carrot,Daucus carota,Apiaceae,Vegetable,"Cfb,Cfa,Dfb,Csb",Moderate,Small,Full sun,Medium,14-21,70-80,Annual,Mar-May/Jul-Sep,Mar-Jun/Aug-Sep,30,15,Europe/Asia,Root vegetable requiring loose deep soil
Spinach,Spinacia oleracea,Amaranthaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Partial shade,Medium,7-14,40-50,Annual,Mar-May/Aug-Oct,Mar-May/Aug-Oct,30,20,Persia,Nutrient-dense cool-season leafy green
Kale,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Dfb,Cfa,Csb",Easy,Medium,Full sun,Medium,7-10,55-75,Annual,Feb-Apr/Aug-Oct,Mar-May/Aug-Sep,60-90,45,Mediterranean,Hardy cold-tolerant brassica superfood
Beans (Bush),Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa,Aw",Easy,Small,Full sun,Medium,7-14,50-60,Annual,Sep-Dec,Apr-Jul,40-50,30,Central America,Nitrogen-fixing legume in dwarf form
Beans (Pole),Phaseolus vulgaris,Fabaceae,Vegetable,"Cfa,Cfb,Csa,Aw",Easy,Small,Full sun,Medium,7-14,60-70,Annual,Sep-Dec,Apr-Jul,180-250,30,Central America,Climbing nitrogen-fixing legume
Peas,Pisum sativum,Fabaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Full sun,Medium,7-14,60-70,Annual,Mar-May/Aug-Sep,Mar-May/Aug-Sep,60-180,30,Mediterranean,Cool-season nitrogen-fixing legume
Zucchini,Cucurbita pepo,Cucurbitaceae,Vegetable,"Cfa,Cfb,Csa,Aw",Easy,Large,Full sun,High,7-10,45-55,Annual,Oct-Dec,May-Jul,60-90,90-120,Americas,Prolific summer squash
