Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-02T16:48:27.604Z","Included","auto","No","50575","18746","109920","910","180151","0.12"
"2025-10-02T15:09:45.535Z","Included","auto","No","51237","17975","260480","1189","330881","0.16"
"2025-10-02T13:20:54.065Z","Included","auto","No","49995","17181","250144","1237","318557","0.15"
"2025-10-02T11:55:55.543Z","Included","auto","No","47349","0","192512","310","240171","0.11"
"2025-10-02T11:04:57.692Z","Included","auto","No","42975","0","50624","250","93849","0.07"
"2025-10-02T09:19:42.037Z","Included","auto","No","36302","75699","149600","8792","270393","0.23"
"2025-10-02T08:23:57.239Z","Included","auto","No","21964","0","3833184","3297","3858445","1.01"
"2025-10-02T08:17:50.256Z","Included","auto","No","20472","0","614016","759","635247","0.18"
"2025-10-02T08:06:47.113Z","Included","auto","No","81078","0","1506560","3347","1590985","0.50"
"2025-10-02T07:40:25.362Z","Included","auto","No","62169","0","3236768","4202","3303139","0.91"
"2025-10-02T07:31:55.742Z","Included","auto","No","87416","13947","1208429","5751","1315543","0.46"
"2025-10-02T06:08:30.553Z","Included","auto","No","53209","87350","1042944","34413","1217916","0.64"
"2025-10-02T05:49:26.798Z","Included","auto","No","13615","0","819520","8062","841197","0.27"
"2025-10-02T05:41:36.011Z","Included","auto","No","86932","0","1285856","8390","1381178","0.48"
"2025-10-02T05:26:07.173Z","Included","auto","No","157271","15851","1095711","10715","1279548","0.55"
"2025-10-02T05:13:27.333Z","Included","auto","No","11387","0","22912","677","34976","0.02"
"2025-09-29T15:15:42.317Z","Errored, Not Charged","auto","No","198762","0","3974618","20956","4194336","1.37"
"2025-09-29T14:41:15.785Z","Errored, Not Charged","auto","No","71165","0","1167130","6367","1244662","0.42"
"2025-09-29T14:36:55.616Z","Included","auto","No","27177","0","988619","930","1016726","0.29"
"2025-09-29T14:27:48.907Z","Included","auto","No","92423","0","4150960","16734","4260117","1.25"
"2025-09-29T14:17:22.770Z","Included","auto","No","35622","90212","340939","18266","485039","0.35"
"2025-09-29T14:14:47.817Z","Included","auto","No","8345","0","104677","452","113474","0.04"
"2025-09-29T14:09:45.576Z","Included","auto","No","12957","0","605668","3886","622511","0.19"
"2025-09-29T14:07:11.561Z","Included","auto","No","9548","0","354981","1224","365753","0.11"
"2025-09-29T14:04:37.822Z","Included","auto","No","78279","0","248071","1167","327517","0.17"
"2025-09-29T13:48:24.826Z","Included","auto","No","17052","0","927405","5410","949867","0.29"
"2025-09-29T13:44:26.927Z","Included","auto","No","12931","0","308263","4026","325220","0.12"
"2025-09-29T13:39:35.069Z","Included","auto","No","38235","83038","283301","17601","422175","0.33"
"2025-09-29T13:37:07.208Z","Included","auto","No","11740","0","433600","3217","448557","0.14"
"2025-09-29T13:33:29.693Z","Included","auto","No","18698","0","1232340","5502","1256540","0.36"
"2025-09-29T13:30:07.143Z","Included","auto","No","18722","0","1200934","6081","1225737","0.36"
"2025-09-29T13:27:03.390Z","Included","auto","No","24901","0","99331","2768","127000","0.07"
"2025-09-29T13:19:48.206Z","Included","auto","No","48620","0","979530","8899","1037049","0.36"
"2025-09-29T13:16:27.154Z","Included","auto","No","27837","82496","456016","9838","576187","0.31"
"2025-09-29T13:02:31.131Z","Included","auto","No","3514","0","553386","2770","559670","0.16"
"2025-09-29T12:55:33.793Z","Included","auto","No","9544","0","1244842","6166","1260552","0.36"
"2025-09-29T12:52:23.701Z","Included","auto","No","96178","0","3039","512","99729","0.12"
"2025-09-29T12:18:53.687Z","Included","auto","No","95752","0","754368","7299","857419","0.35"
"2025-09-29T10:51:42.678Z","pro-free-trial","auto","No","83128","0","3903","625","87656","0.11"
"2025-09-29T10:30:12.380Z","pro-free-trial","auto","No","13138","0","2622289","4733","2640160","0.70"
